user_id,watch_time_hours,total_sessions,avg_session_mins,weekday_watch_ratio,recency_days,short_session_ratio,top_genres
USR-1043,22.2,18,15.4,0.58,9.0,0.63,Comedy
USR-1044,33.6,47,120.4,0.66,3.0,0.07,"Sci-Fi,Thriller,Action"
USR-1045,4.1,6,20.6,0.62,18.0,0.63,"Comedy,Drama"
USR-1046,17.7,27,13.3,0.41,4.0,0.67,Animation
USR-1047,31.4,58,47.4,0.51,3.0,0.27,"Action,Horror,Thriller,Comedy,Animation"
USR-1048,47.8,36,56.4,0.62,5.0,0.27,"Documentary,Drama,Thriller"
USR-1049,0.5,6,26.0,0.75,44.0,0.58,Comedy
USR-1050,34.8,50,72.3,0.61,3.0,0.47,"Action,Drama,Comedy"
USR-1051,23.8,57,43.3,0.42,1.0,0.28,"Drama,Comedy,Thriller,Sci-Fi,Horror"
USR-1052,14.3,19,30.2,0.48,2.0,0.62,"Romance,Comedy"
USR-1053,63.9,25,79.4,0.64,3.0,0.07,"Sci-Fi,Action"
USR-1054,16.6,15,34.9,0.44,3.0,0.64,Comedy
USR-1055,59.7,32,52.7,0.57,5.0,0.42,"Thriller,Horror,Documentary,Comedy"
USR-1056,17.0,22,22.9,0.49,8.0,0.61,"Comedy,Romance"
USR-1057,54.2,51,50.8,0.69,6.0,0.46,"Drama,Horror,Thriller"
USR-1058,80.9,54,49.8,0.67,3.0,0.19,"Sci-Fi,Thriller,Action"
USR-1059,13.4,24,29.3,0.56,5.0,0.84,"Romance,Animation"
USR-1060,21.7,59,64.5,0.59,3.0,0.22,"Comedy,Romance,Action"
USR-1061,5.2,5,20.2,0.32,28.0,0.63,"Comedy,Drama"
USR-1062,90.2,36,132.6,0.56,2.0,0.07,"Thriller,Sci-Fi,Action"
USR-1063,72.7,54,109.1,0.55,4.0,0.06,"Sci-Fi,Thriller,Action"
USR-1064,33.6,53,43.1,0.55,2.0,0.43,"Romance,Action,Documentary,Thriller"
USR-1065,45.7,57,57.8,0.43,2.0,0.31,"Animation,Romance,Action,Drama,Comedy"
USR-1066,53.4,41,78.0,0.6,1.0,0.15,"Thriller,Sci-Fi"
USR-1067,24.4,29,29.4,0.52,1.0,0.77,"Animation,Romance"
USR-1068,20.6,38,40.3,0.45,6.0,0.78,Romance
USR-1069,61.9,54,39.4,0.56,2.0,0.17,"Thriller,Action,Sci-Fi"
USR-1070,27.5,60,98.7,0.8,2.0,0.11,"Action,Thriller,Sci-Fi"
USR-1071,64.9,62,94.0,0.7,1.0,0.16,"Sci-Fi,Action"
USR-1072,1.7,4,26.4,0.35,10.0,0.54,"Comedy,Drama"
USR-1073,13.8,17,28.8,0.32,2.0,0.74,Comedy
USR-1074,6.5,1,14.2,0.28,18.0,0.6,Drama
USR-1075,37.4,34,51.9,0.65,4.0,0.32,"Romance,Documentary,Sci-Fi"
USR-1076,54.0,37,53.1,0.65,5.0,0.26,"Action,Thriller,Comedy,Romance"
USR-1077,6.1,2,5.0,0.69,23.0,0.66,Comedy
USR-1078,21.0,30,50.2,0.52,2.0,0.36,"Action,Comedy,Thriller,Sci-Fi,Animation"
USR-1079,60.5,56,49.6,0.64,6.0,0.43,"Romance,Animation,Horror"
USR-1080,12.6,27,27.1,0.33,4.0,0.74,"Animation,Comedy"
USR-1081,0.5,27,21.9,0.52,3.0,0.81,"Romance,Comedy"
USR-1082,25.9,52,41.8,0.54,6.0,0.38,"Sci-Fi,Documentary,Thriller,Drama"
USR-1083,56.0,33,111.0,0.63,1.0,0.07,"Sci-Fi,Action"
USR-1084,30.2,35,29.2,0.41,5.0,0.7,"Animation,Romance"
USR-1085,37.5,55,38.6,0.68,2.0,0.34,"Horror,Documentary,Sci-Fi,Thriller,Romance"
USR-1086,47.1,48,90.5,0.59,1.0,0.14,"Action,Sci-Fi,Thriller"
USR-1087,71.7,65,85.3,0.54,2.0,0.18,"Sci-Fi,Thriller"
USR-1088,10.9,37,26.2,0.43,8.0,0.87,"Romance,Comedy"
USR-1089,53.0,48,45.3,0.42,6.0,0.41,"Drama,Animation,Documentary,Sci-Fi"
USR-1090,69.3,63,79.9,0.73,2.0,0.09,"Action,Sci-Fi,Thriller"
USR-1091,3.4,1,30.2,0.33,33.0,0.38,Comedy
USR-1092,57.1,57,94.8,0.67,4.0,0.06,"Action,Sci-Fi,Thriller"
USR-1093,3.1,5,31.6,0.28,23.0,0.42,"Comedy,Drama"
USR-1094,48.3,45,55.6,0.45,4.0,0.39,"Romance,Animation,Horror,Drama"
USR-1095,5.7,19,29.8,0.4,9.0,0.73,"Comedy,Animation"
USR-1096,3.1,6,22.6,0.49,32.0,0.62,Comedy
USR-1097,20.2,39,33.5,0.38,6.0,0.79,"Comedy,Romance"
USR-1098,6.8,6,31.5,0.75,30.0,0.63,Drama
USR-1099,52.3,52,55.7,0.43,6.0,0.24,"Documentary,Animation,Horror"
USR-1100,36.1,59,63.7,0.56,2.0,0.25,"Romance,Documentary,Horror,Comedy,Animation"
USR-1101,6.1,3,18.8,0.38,44.0,0.68,Drama
USR-1102,1.9,4,27.0,0.52,,0.54,Comedy
USR-1103,4.9,2,9.5,0.26,18.0,0.44,Documentary
USR-1104,21.3,32,45.2,0.42,4.0,0.41,"Animation,Action,Horror,Documentary"
USR-1105,5.7,1,30.1,0.31,25.0,0.65,"Documentary,Drama"
USR-1106,50.1,37,66.4,0.47,1.0,0.39,"Thriller,Animation,Romance,Drama,Action"
USR-1107,10.6,21,22.1,0.39,8.0,0.89,Romance
USR-1108,39.2,56,42.0,0.65,1.0,0.4,"Action,Documentary,Thriller,Romance,Horror"
USR-1109,42.1,51,66.7,0.5,2.0,0.36,"Thriller,Action,Animation"
USR-1110,74.6,63,81.6,0.5,1.0,0.17,"Sci-Fi,Action"
USR-1111,5.4,39,29.5,0.53,9.0,0.7,"Animation,Romance"
USR-1112,60.5,54,68.9,0.76,2.0,0.09,"Thriller,Sci-Fi"
USR-1113,0.5,4,7.9,0.33,15.0,0.69,Drama
USR-1114,8.3,34,28.1,0.32,8.0,0.88,Romance
USR-1115,3.0,2,19.0,0.67,15.0,0.62,"Documentary,Drama"
USR-1116,3.1,2,8.3,0.49,26.0,0.36,"Drama,Documentary"
USR-1117,13.1,56,39.5,0.44,1.0,0.21,"Animation,Thriller,Comedy,Romance"
USR-1118,15.3,19,20.0,0.37,5.0,0.9,"Romance,Animation"
USR-1119,15.9,22,31.9,0.5,1.0,0.86,Animation
USR-1120,6.1,1,25.1,0.76,36.0,0.6,Documentary
USR-1121,6.6,2,19.1,0.28,39.0,0.66,"Drama,Comedy"
USR-1122,30.6,42,42.6,0.59,1.0,0.37,"Action,Animation,Documentary,Horror,Romance"
USR-1123,12.9,29,33.9,0.58,6.0,0.88,"Comedy,Romance"
USR-1124,12.8,24,26.4,0.44,6.0,0.79,Comedy
USR-1125,2.5,3,39.1,0.28,21.0,0.31,Comedy
USR-1126,11.6,37,30.8,0.43,2.0,0.9,Animation
USR-1127,7.2,3,21.1,0.33,11.0,0.61,"Comedy,Drama"
USR-1128,18.9,30,24.2,0.56,4.0,0.72,Animation
USR-1129,22.0,16,17.6,0.36,1.0,0.8,"Romance,Comedy"
USR-1130,7.7,39,26.2,0.56,5.0,0.65,Comedy
USR-1131,28.7,50,53.9,0.67,2.0,0.38,"Drama,Comedy,Documentary,Sci-Fi"
USR-1132,71.7,26,65.1,0.74,3.0,0.2,"Sci-Fi,Thriller"
USR-1133,43.9,35,49.1,0.49,5.0,0.43,"Comedy,Sci-Fi,Action,Thriller"
USR-1134,60.1,46,86.0,0.56,1.0,0.13,"Action,Sci-Fi,Thriller"
USR-1135,80.3,54,86.8,0.51,4.0,0.1,"Action,Sci-Fi"
USR-1136,51.9,31,57.5,0.41,4.0,0.23,"Sci-Fi,Comedy,Thriller,Animation,Documentary"
USR-1137,22.6,29,29.5,0.54,7.0,0.8,"Comedy,Romance"
USR-1138,33.0,57,49.7,0.62,3.0,0.42,"Action,Thriller,Romance,Animation,Documentary"
USR-1139,37.8,48,62.5,0.45,6.0,0.42,"Horror,Documentary,Comedy,Thriller"
USR-1140,36.9,59,30.0,0.69,2.0,0.42,"Drama,Action,Comedy"
USR-1141,12.5,16,25.6,0.45,2.0,0.78,"Romance,Comedy"
USR-1142,19.8,26,26.4,0.42,2.0,0.79,Animation
USR-1143,59.9,39,31.5,0.47,6.0,0.35,"Documentary,Comedy,Drama"
USR-1144,21.9,20,11.1,0.5,9.0,0.89,"Animation,Comedy"
USR-1145,90.8,60,115.8,0.79,3.0,0.09,"Action,Thriller,Sci-Fi"
USR-1146,33.6,54,90.1,0.54,1.0,0.09,"Thriller,Sci-Fi"
USR-1147,77.7,61,109.5,0.73,4.0,0.17,"Thriller,Action,Sci-Fi"
USR-1148,33.8,43,50.5,0.42,5.0,0.48,"Comedy,Thriller,Animation"
USR-1149,90.7,44,100.4,0.8,4.0,0.15,"Sci-Fi,Action,Thriller"
USR-1150,38.4,44,63.0,0.56,4.0,0.36,"Sci-Fi,Action,Romance,Drama,Horror"
USR-1151,55.6,29,123.3,0.79,3.0,0.15,"Action,Thriller"
USR-1152,16.1,31,26.3,0.31,8.0,0.84,"Animation,Romance"
USR-1153,48.7,29,117.6,0.67,2.0,0.15,"Sci-Fi,Action,Thriller"
USR-1154,6.5,1,17.5,0.25,40.0,0.6,"Comedy,Drama"
USR-1155,38.7,31,59.2,0.63,1.0,0.3,"Comedy,Thriller,Drama"
USR-1156,24.6,39,18.2,0.48,1.0,0.73,"Romance,Comedy"
USR-1157,53.1,43,68.4,0.55,5.0,0.46,"Drama,Horror,Animation,Action"
USR-1158,14.1,25,11.9,0.53,6.0,0.82,"Animation,Comedy"
USR-1159,76.4,49,90.6,0.7,3.0,0.06,"Sci-Fi,Thriller"
USR-1160,70.9,51,62.8,0.78,4.0,0.13,"Action,Sci-Fi,Thriller"
USR-1161,43.8,55,49.2,0.44,3.0,0.24,"Thriller,Drama,Animation,Romance"
USR-1162,7.5,1,19.2,0.42,22.0,0.54,"Comedy,Documentary"
USR-1163,47.0,53,63.9,0.52,5.0,0.47,"Action,Documentary,Romance"
USR-1164,2.6,7,24.3,0.55,44.0,0.65,Documentary
USR-1165,65.7,52,82.1,0.56,3.0,0.08,"Thriller,Sci-Fi,Action"
USR-1166,58.5,31,71.2,0.71,3.0,0.12,"Thriller,Action"
USR-1167,43.6,39,43.6,0.67,5.0,0.22,"Animation,Sci-Fi,Comedy"
USR-1168,54.9,57,47.4,0.64,3.0,0.39,"Documentary,Sci-Fi,Horror,Action"
USR-1169,62.8,62,74.4,0.67,2.0,0.12,"Action,Sci-Fi,Thriller"
USR-1170,66.7,40,92.6,0.62,2.0,0.12,"Sci-Fi,Thriller,Action"
USR-1171,33.6,37,33.1,0.41,4.0,0.48,"Action,Documentary,Drama"
USR-1172,72.6,58,96.6,0.52,4.0,0.1,"Sci-Fi,Thriller,Action"
USR-1173,7.7,15,19.3,0.39,4.0,0.68,"Romance,Comedy"
USR-1174,70.5,61,113.0,0.62,4.0,0.19,"Action,Sci-Fi,Thriller"
USR-1175,44.5,43,74.0,0.64,4.0,0.45,"Action,Thriller,Horror,Romance,Documentary"
USR-1176,6.7,1,24.7,0.49,42.0,0.67,"Comedy,Documentary"
USR-1177,2.7,3,29.3,0.44,34.0,0.57,"Comedy,Documentary"
USR-1178,14.4,26,24.4,0.59,4.0,0.73,"Comedy,Animation"
USR-1179,65.7,47,80.4,0.55,3.0,0.13,"Sci-Fi,Action,Thriller"
USR-1180,56.5,33,76.8,0.73,2.0,0.07,"Sci-Fi,Thriller,Action"
USR-1181,31.2,57,41.1,0.49,4.0,0.4,"Action,Romance,Animation,Drama"
USR-1182,47.4,38,49.0,0.55,1.0,0.17,"Action,Thriller,Sci-Fi"
USR-1183,85.5,45,77.3,0.73,2.0,0.08,"Thriller,Sci-Fi"
USR-1184,50.1,35,84.4,0.64,4.0,0.09,"Action,Sci-Fi"
USR-1185,82.5,64,67.7,0.74,1.0,0.11,"Sci-Fi,Action,Thriller"
USR-1186,5.2,2,21.7,0.46,38.0,0.41,"Drama,Comedy"
USR-1187,9.4,2,13.9,0.43,31.0,0.55,Comedy
USR-1188,14.8,22,27.1,0.31,9.0,0.82,Animation
USR-1189,53.0,60,111.0,0.6,3.0,0.19,"Thriller,Action"
USR-1190,22.5,22,26.5,0.38,6.0,0.62,"Animation,Romance"
USR-1191,29.7,38,39.4,0.59,2.0,0.34,"Action,Documentary,Animation,Drama,Romance"
USR-1192,15.2,16,31.6,0.34,1.0,0.88,Animation
USR-1193,2.0,32,32.8,0.58,4.0,0.64,"Comedy,Animation"
USR-1194,76.2,36,77.8,0.78,2.0,0.15,"Sci-Fi,Thriller,Action"
USR-1195,6.2,4,27.3,0.23,31.0,0.6,Drama
USR-1196,63.6,39,83.3,0.53,2.0,0.08,"Action,Thriller"
USR-1197,23.9,15,21.0,0.45,6.0,0.77,Romance
USR-1198,37.9,37,62.2,0.54,1.0,0.42,"Animation,Sci-Fi,Horror,Documentary,Romance"
USR-1199,45.2,31,64.2,0.51,5.0,0.36,"Animation,Drama,Sci-Fi,Comedy"
USR-1200,47.6,35,55.7,0.66,5.0,0.24,"Sci-Fi,Animation,Action,Documentary,Drama"
USR-1201,5.8,39,35.1,0.42,1.0,0.78,"Romance,Animation"
USR-1202,37.4,49,46.2,0.57,6.0,0.35,"Horror,Sci-Fi,Action,Animation"
USR-1203,62.4,54,75.9,0.79,1.0,0.17,"Action,Thriller,Sci-Fi"
USR-1204,17.2,15,20.4,0.33,4.0,0.62,"Animation,Comedy"
USR-1205,4.5,1,25.8,0.58,29.0,0.61,Drama
USR-1206,6.1,2,28.8,0.55,19.0,0.43,Documentary
USR-1207,60.2,56,58.8,0.49,5.0,0.22,"Horror,Comedy,Romance,Action,Thriller"
USR-1208,6.3,6,34.3,0.64,44.0,0.47,Comedy
USR-1209,50.0,55,91.0,0.78,1.0,0.19,"Action,Sci-Fi,Thriller"
USR-1210,50.7,38,65.9,0.57,4.0,0.11,"Sci-Fi,Action"
USR-1211,39.7,53,41.0,0.41,2.0,0.47,"Animation,Romance,Documentary"
USR-1212,70.3,48,118.8,0.67,3.0,0.11,"Sci-Fi,Action,Thriller"
USR-1213,10.0,31,29.9,0.44,9.0,0.88,"Animation,Romance"
USR-1214,58.6,66,74.2,0.53,2.0,0.13,"Thriller,Sci-Fi"
USR-1215,3.3,6,21.5,0.53,43.0,0.33,"Comedy,Drama"
USR-1216,17.4,39,17.9,0.5,2.0,0.86,Animation
USR-1217,15.1,24,19.2,0.59,3.0,0.84,"Animation,Comedy"
USR-1218,82.4,46,69.6,0.51,4.0,0.18,"Sci-Fi,Action,Thriller"
USR-1219,8.0,1,23.8,0.22,34.0,0.34,Comedy
USR-1220,16.8,39,19.0,0.42,3.0,0.73,Comedy
USR-1221,17.2,35,35.9,0.39,9.0,0.72,"Comedy,Romance"
USR-1222,27.1,16,10.4,0.4,3.0,0.71,Romance
USR-1223,3.2,5,16.0,0.64,13.0,0.62,"Comedy,Drama"
USR-1224,4.1,1,34.1,0.45,30.0,0.59,"Drama,Comedy"
USR-1225,22.1,39,45.7,0.55,5.0,0.89,"Animation,Romance"
USR-1226,8.5,4,23.5,0.79,11.0,0.63,"Documentary,Comedy"
USR-1227,15.8,30,25.9,0.51,8.0,0.63,Animation
USR-1228,55.1,35,44.4,0.7,4.0,0.14,"Sci-Fi,Thriller"
USR-1229,15.2,34,26.1,0.52,2.0,0.7,"Animation,Comedy"
USR-1230,78.0,62,77.4,0.61,1.0,0.05,"Sci-Fi,Thriller"
USR-1231,37.6,38,53.6,0.64,5.0,0.47,"Horror,Thriller,Comedy,Sci-Fi,Animation"
USR-1232,11.6,17,14.4,0.42,4.0,0.61,"Comedy,Romance"
USR-1233,5.0,6,13.0,0.75,28.0,0.62,"Documentary,Comedy"
USR-1234,64.5,54,61.3,0.48,4.0,0.23,"Drama,Comedy,Animation,Documentary"
USR-1235,19.5,23,17.9,0.31,4.0,0.86,"Animation,Romance"
USR-1236,38.7,46,48.0,0.49,4.0,0.37,"Horror,Drama,Action,Thriller"
USR-1237,16.1,23,38.7,0.5,1.0,0.62,"Romance,Animation"
USR-1238,4.1,26,19.5,0.44,9.0,0.7,"Romance,Animation"
USR-1239,54.7,58,71.0,0.59,4.0,0.23,"Sci-Fi,Action,Documentary,Horror"
USR-1240,11.3,39,26.6,0.3,6.0,0.61,"Comedy,Animation"
USR-1241,6.5,17,5.0,0.36,3.0,0.73,"Animation,Romance"
USR-1242,16.8,15,27.3,0.4,5.0,0.73,"Comedy,Romance"
USR-1243,14.0,19,30.4,0.39,1.0,0.63,Animation
USR-1244,39.2,43,42.9,0.45,4.0,0.42,"Drama,Documentary,Comedy"
USR-1245,5.7,6,24.2,0.23,32.0,0.32,"Drama,Comedy"
USR-1246,52.5,42,40.8,0.53,3.0,0.11,"Thriller,Sci-Fi,Action"
USR-1247,21.8,16,18.5,0.5,9.0,0.79,Animation
USR-1248,75.6,63,89.7,0.76,4.0,0.15,"Sci-Fi,Action"
USR-1249,47.8,41,87.2,0.71,4.0,0.09,"Thriller,Action"
USR-1250,14.0,38,13.1,0.5,5.0,0.81,"Animation,Comedy"
USR-1251,21.0,26,19.6,0.54,3.0,0.74,"Animation,Comedy"
USR-1252,19.8,39,11.0,0.31,1.0,0.76,"Animation,Romance"
USR-1253,60.4,44,100.6,0.6,2.0,0.15,"Thriller,Action,Sci-Fi"
USR-1254,17.6,31,35.6,0.5,5.0,0.76,"Romance,Comedy"
USR-1255,48.3,50,87.0,0.51,2.0,0.19,"Sci-Fi,Action"
USR-1256,61.1,54,117.0,0.54,2.0,0.07,"Thriller,Sci-Fi,Action"
USR-1257,6.9,1,23.7,0.25,26.0,0.45,"Drama,Comedy"
USR-1258,10.6,5,5.0,0.66,32.0,0.48,"Drama,Comedy"
USR-1259,40.4,41,34.1,0.47,3.0,0.37,"Animation,Comedy,Romance,Horror,Drama"
USR-1260,16.8,39,32.2,0.54,3.0,0.66,Animation
USR-1261,60.0,51,68.7,0.56,4.0,0.21,"Horror,Drama,Comedy,Romance"
USR-1262,3.7,4,8.3,0.49,41.0,0.5,Drama
USR-1263,18.8,29,19.2,0.48,9.0,0.71,Animation
USR-1264,7.0,7,16.6,0.55,16.0,0.68,"Documentary,Drama"
USR-1265,49.7,62,69.1,0.58,1.0,0.13,"Thriller,Sci-Fi,Action"
USR-1266,66.9,50,55.5,0.51,2.0,0.3,"Documentary,Thriller,Comedy,Sci-Fi,Drama"
USR-1267,3.7,5,16.4,0.64,22.0,0.6,Documentary
USR-1268,2.5,7,23.1,0.49,23.0,0.46,"Drama,Documentary"
USR-1269,27.7,27,31.3,0.58,2.0,0.6,Comedy
USR-1270,15.0,24,18.5,0.37,6.0,0.62,"Romance,Comedy"
USR-1271,45.1,32,45.9,0.64,6.0,0.25,"Drama,Comedy,Thriller,Horror,Action"
USR-1272,0.5,1,32.0,0.66,40.0,0.66,Drama
USR-1273,32.2,47,52.3,0.47,4.0,0.27,"Comedy,Sci-Fi,Drama"
USR-1274,26.5,31,46.1,0.44,2.0,0.42,"Thriller,Drama,Sci-Fi"
USR-1275,13.0,32,26.2,0.44,6.0,0.67,Romance
USR-1276,44.8,51,68.6,0.76,4.0,0.17,"Thriller,Action"
USR-1277,18.6,33,23.6,0.33,7.0,0.75,Animation
USR-1278,51.6,30,64.8,0.48,3.0,0.49,"Documentary,Comedy,Animation,Drama,Thriller"
USR-1279,4.0,7,10.3,0.5,44.0,0.48,"Comedy,Drama"
USR-1280,22.4,16,22.4,0.36,9.0,0.86,"Romance,Comedy"
USR-1281,48.1,33,48.0,0.62,4.0,0.49,"Comedy,Sci-Fi,Drama"
USR-1282,46.2,50,57.1,0.48,5.0,0.41,"Horror,Drama,Documentary"
USR-1283,52.1,36,108.9,0.68,4.0,0.16,"Action,Sci-Fi"
USR-1284,13.4,30,37.5,0.53,8.0,0.64,"Comedy,Animation"
USR-1285,75.1,58,96.8,0.55,3.0,0.05,"Thriller,Sci-Fi"
USR-1286,47.5,41,35.3,0.4,3.0,0.4,"Sci-Fi,Comedy,Romance"
USR-1287,37.3,51,67.9,0.45,3.0,0.41,"Action,Romance,Animation"
USR-1288,4.1,7,22.3,0.54,31.0,0.45,Drama
USR-1289,26.4,42,38.7,0.64,4.0,0.32,"Comedy,Sci-Fi,Drama,Animation,Romance"
USR-1290,26.9,47,48.1,0.49,2.0,0.27,"Action,Drama,Thriller"
USR-1291,6.5,25,22.9,0.5,1.0,0.89,Romance
USR-1292,10.4,18,27.5,0.59,8.0,0.81,"Romance,Comedy"
USR-1293,77.3,47,83.4,0.52,2.0,0.05,"Thriller,Action,Sci-Fi"
USR-1294,5.1,7,20.2,0.44,17.0,0.61,"Drama,Documentary"
USR-1295,28.5,53,55.7,0.63,5.0,0.35,"Drama,Action,Animation"
USR-1296,31.7,31,37.0,0.55,3.0,0.28,"Romance,Documentary,Comedy,Action,Animation"
USR-1297,19.5,33,23.6,0.45,9.0,0.83,Comedy
USR-1298,39.4,41,76.5,0.74,4.0,0.11,"Action,Thriller"
USR-1299,31.5,42,42.8,0.69,2.0,0.45,"Animation,Drama,Thriller"
USR-1300,15.6,25,29.7,0.47,5.0,0.76,"Animation,Comedy"
USR-1301,78.2,50,82.0,0.77,1.0,0.16,"Action,Sci-Fi"
USR-1302,17.5,23,14.4,0.39,7.0,0.61,"Animation,Romance"
USR-1303,65.2,27,99.2,0.53,3.0,0.18,"Sci-Fi,Action"
USR-1304,28.6,54,55.1,0.54,5.0,0.28,"Comedy,Drama,Thriller,Animation,Action"
USR-1305,85.5,64,68.1,0.57,2.0,0.05,"Action,Thriller,Sci-Fi"
USR-1306,75.2,65,62.0,0.75,3.0,0.14,"Sci-Fi,Action,Thriller"
USR-1307,34.4,59,55.5,0.5,6.0,0.32,"Animation,Comedy,Thriller,Documentary"
USR-1308,45.8,38,43.2,0.48,2.0,0.34,"Sci-Fi,Comedy,Documentary"
USR-1309,29.8,46,56.5,0.68,2.0,0.41,"Thriller,Drama,Animation,Horror,Sci-Fi"
USR-1310,74.6,27,62.7,0.54,1.0,0.16,"Thriller,Sci-Fi"
USR-1311,13.9,18,9.3,0.54,4.0,0.72,Comedy
USR-1312,72.3,58,110.0,0.63,4.0,0.13,"Action,Thriller"
USR-1313,25.9,20,25.3,0.34,3.0,0.89,"Animation,Comedy"
USR-1314,2.8,7,11.4,0.39,31.0,0.57,Drama
USR-1315,54.5,48,53.1,0.59,4.0,0.4,"Animation,Comedy,Documentary"
USR-1316,54.6,43,39.6,0.58,3.0,0.31,"Documentary,Action,Thriller,Comedy"
USR-1317,11.6,37,27.7,0.43,6.0,0.78,"Romance,Animation"
USR-1318,17.1,24,24.6,0.35,6.0,0.76,"Romance,Comedy"
USR-1319,32.3,56,70.4,0.56,3.0,0.38,"Action,Animation,Romance,Sci-Fi"
USR-1320,39.0,51,52.2,0.61,3.0,0.39,"Thriller,Action,Documentary,Animation,Drama"
USR-1321,49.8,38,68.5,0.56,3.0,0.38,"Horror,Documentary,Sci-Fi"
USR-1322,74.0,54,111.0,0.7,4.0,0.14,"Thriller,Action"
USR-1323,19.5,20,36.7,0.59,1.0,0.75,Comedy
USR-1324,69.7,52,88.8,0.76,4.0,0.12,"Action,Thriller"
USR-1325,4.7,1,5.0,0.35,29.0,0.38,Documentary
USR-1326,2.0,5,13.1,0.25,43.0,0.33,Comedy
USR-1327,88.9,54,117.7,0.79,2.0,0.18,"Action,Thriller"
USR-1328,0.5,2,22.1,0.51,36.0,0.51,Drama
USR-1329,18.6,21,20.3,0.38,1.0,0.87,Comedy
USR-1330,52.0,56,47.2,0.61,2.0,0.35,"Action,Animation,Horror,Drama"
USR-1331,10.9,36,25.0,0.31,1.0,0.83,"Comedy,Romance"
USR-1332,23.9,35,25.7,0.52,3.0,0.84,"Animation,Comedy"
USR-1333,8.7,1,5.0,0.41,33.0,0.62,Drama
USR-1334,5.4,1,32.3,0.5,25.0,0.65,Documentary
USR-1335,57.9,65,105.7,0.76,2.0,0.18,"Action,Thriller,Sci-Fi"
USR-1336,64.7,58,36.4,0.54,5.0,0.42,"Thriller,Drama,Romance,Horror,Comedy"
